ID_PROJECT,a
ID_BATCH,a
ID_WAFER,a
WAFER_ROTATION,a
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,a
LINES_DATA,a
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,07C,-7.75,8.9275,-7.75,8.9275,0.25,0.25,D01
DD,07C,-7.5,8.9275,-7.5,8.9275,0.25,0.25,D01
DD,07D,-7.2,8.9275,-7.2,8.9275,0.25,0.25,D01
DD,07D,-6.95,8.9275,-6.95,8.9275,0.25,0.25,D01
DD,07D,-6.7,8.9275,-6.7,8.9275,0.25,0.25,D01
DD,07D,-6.45,8.9275,-6.45,8.9275,0.25,0.25,D01
DD,07E,-6.15,8.9275,-6.15,8.9275,0.25,0.25,D02
DD,07E,-5.9,8.9275,-5.9,8.9275,0.25,0.25,D02
DD,07E,-5.65,8.9275,-5.65,8.9275,0.25,0.25,D02
DD,07E,-5.4,8.9275,-5.4,8.9275,0.25,0.25,D02
DD,07F,-5.1,8.9275,-5.1,8.9275,0.25,0.25,D02
DD,07F,-4.85,8.9275,-4.85,8.9275,0.25,0.25,D02
DD,07F,-4.6,8.9275,-4.6,8.9275,0.25,0.25,D02
DD,07F,-4.35,8.9275,-4.35,8.9275,0.25,0.25,D02
DD,07G,-4.05,8.9275,-4.05,8.9275,0.25,0.25,D02
DD,07G,-3.8,8.9275,-3.8,8.9275,0.25,0.25,D02
DD,07G,-3.55,8.9275,-3.55,8.9275,0.25,0.25,D02
DD,07G,-3.3,8.9275,-3.3,8.9275,0.25,0.25,D02
DD,07H,-3.0,8.9275,-3.0,8.9275,0.25,0.25,D02
DD,07H,-2.75,8.9275,-2.75,8.9275,0.25,0.25,D02
DD,07H,-2.5,8.9275,-2.5,8.9275,0.25,0.25,D02
DD,07H,-2.25,8.9275,-2.25,8.9275,0.25,0.25,D02
DD,07I,-1.95,8.9275,-1.95,8.9275,0.25,0.25,D02
DD,07I,-1.7,8.9275,-1.7,8.9275,0.25,0.25,D02
DD,07I,-1.45,8.9275,-1.45,8.9275,0.25,0.25,D02
DD,07I,-1.2,8.9275,-1.2,8.9275,0.25,0.25,D02
DD,07J,-0.9,8.9275,-0.9,8.9275,0.25,0.25,D02
DD,07J,-0.65,8.9275,-0.65,8.9275,0.25,0.25,D02
DD,07J,-0.4,8.9275,-0.4,8.9275,0.25,0.25,D02
DD,07J,-0.15,8.9275,-0.15,8.9275,0.25,0.25,D02
DD,08J,-0.15,8.6775,-0.15,8.6775,0.25,0.25,D02
DD,08J,-0.4,8.6775,-0.4,8.6775,0.25,0.25,D02
DD,08J,-0.65,8.6775,-0.65,8.6775,0.25,0.25,D02
DD,08J,-0.9,8.6775,-0.9,8.6775,0.25,0.25,D02
DD,08I,-1.2,8.6775,-1.2,8.6775,0.25,0.25,D02
DD,08I,-1.45,8.6775,-1.45,8.6775,0.25,0.25,D02
DD,08I,-1.7,8.6775,-1.7,8.6775,0.25,0.25,D02
DD,08I,-1.95,8.6775,-1.95,8.6775,0.25,0.25,D02
DD,08H,-2.25,8.6775,-2.25,8.6775,0.25,0.25,D02
DD,08H,-2.5,8.6775,-2.5,8.6775,0.25,0.25,D02
DD,08H,-2.75,8.6775,-2.75,8.6775,0.25,0.25,D02
DD,08H,-3.0,8.6775,-3.0,8.6775,0.25,0.25,D02
DD,08G,-3.3,8.6775,-3.3,8.6775,0.25,0.25,D02
DD,08G,-3.55,8.6775,-3.55,8.6775,0.25,0.25,D02
