ID_PROJECT,VPD
ID_BATCH,ALPHA1
ID_WAFER,OEM-BY-PD-02
WAFER_ROTATION,90
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,ALL
LINES_DATA,1628
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
DD,11I1,-1.95,7.9275,-1.95,7.9275,1.0,0.25,D01
DD,11J1,-0.9,7.9275,-0.9,7.9275,1.0,0.25,D01
DD,12J1,-0.9,7.6775,-0.9,7.6775,1.0,0.25,D01
DD,12I1,-1.95,7.6775,-1.95,7.6775,1.0,0.25,D01
DD,12H1,-3.0,7.6775,-3.0,7.6775,1.0,0.25,D01
DD,12G1,-4.05,7.6775,-4.05,7.6775,1.0,0.25,D01
DD,12F1,-5.1,7.6775,-5.1,7.6775,1.0,0.25,D01
DD,12E1,-6.15,7.6775,-6.15,7.6775,1.0,0.25,D01
DD,12D1,-7.2,7.6775,-7.2,7.6775,1.0,0.25,D01
DD,12C1,-8.25,7.6775,-8.25,7.6775,1.0,0.25,D01
DD,12B1,-9.3,7.6775,-9.3,7.6775,1.0,0.25,D01
DD,12A1,-10.35,7.6775,-10.35,7.6775,1.0,0.25,D01
DD,13A1,-10.35,7.4275,-10.35,7.4275,1.0,0.25,D01
DD,13B1,-9.3,7.4275,-9.3,7.4275,1.0,0.25,D01
DD,13C1,-8.25,7.4275,-8.25,7.4275,1.0,0.25,D01
DD,13D1,-7.2,7.4275,-7.2,7.4275,1.0,0.25,D01
DD,13E1,-6.15,7.4275,-6.15,7.4275,1.0,0.25,D01
DD,13F1,-5.1,7.4275,-5.1,7.4275,1.0,0.25,D01
DD,13G1,-4.05,7.4275,-4.05,7.4275,1.0,0.25,D01
DD,13H1,-3.0,7.4275,-3.0,7.4275,1.0,0.25,D01
DD,13I1,-1.95,7.4275,-1.95,7.4275,1.0,0.25,D01
DD,13J1,-0.9,7.4275,-0.9,7.4275,1.0,0.25,D01
DD,14J1,-0.9,7.1775,-0.9,7.1775,1.0,0.25,D01
DD,14I1,-1.95,7.1775,-1.95,7.1775,1.0,0.25,D01
DD,14H1,-3.0,7.1775,-3.0,7.1775,1.0,0.25,D01
DD,14G1,-4.05,7.1775,-4.05,7.1775,1.0,0.25,D01
DD,14F1,-5.1,7.1775,-5.1,7.1775,1.0,0.25,D01
DD,14E1,-6.15,7.1775,-6.15,7.1775,1.0,0.25,D01
DD,14D1,-7.2,7.1775,-7.2,7.1775,1.0,0.25,D01
DD,14C1,-8.25,7.1775,-8.25,7.1775,1.0,0.25,D01
DD,14B1,-9.3,7.1775,-9.3,7.1775,1.0,0.25,D01
DD,14A1,-10.35,7.1775,-10.35,7.1775,1.0,0.25,D01
DD,15A1,-10.35,6.9275,-10.35,6.9275,1.0,0.25,D01
DD,15B1,-9.3,6.9275,-9.3,6.9275,1.0,0.25,D01
DD,15C1,-8.25,6.9275,-8.25,6.9275,1.0,0.25,D01
DD,15D1,-7.2,6.9275,-7.2,6.9275,1.0,0.25,D01
DD,15E1,-6.15,6.9275,-6.15,6.9275,1.0,0.25,D01
DD,15F1,-5.1,6.9275,-5.1,6.9275,1.0,0.25,D01
DD,15G1,-4.05,6.9275,-4.05,6.9275,1.0,0.25,D01
DD,15H1,-3.0,6.9275,-3.0,6.9275,1.0,0.25,D01
DD,15I1,-1.95,6.9275,-1.95,6.9275,1.0,0.25,D01
DD,15J1,-0.9,6.9275,-0.9,6.9275,1.0,0.25,D01
