ID_PROJECT,a
ID_BATCH,a
ID_WAFER,a
WAFER_ROTATION,a
TILE_WIDTH,10.5
TILE_HEIGHT,10.5
TEST_STRUCTURE,a
LINES_DATA,2808
tile_id,die_id,xc_ref[um],yc_ref[um],xc_chip[um],yc_chip[um],width[um],height[um],Array detail
BC,25B,25.4275,19.8,25.4275,19.8,0.25,1.05,D01
BC,26B,25.1775,19.8,25.1775,19.8,0.25,1.05,D01
BC,27B,24.9275,19.8,24.9275,19.8,0.25,1.05,D01
BC,28B,24.6775,19.8,24.6775,19.8,0.25,1.05,D01
BC,29B,24.4275,19.8,24.4275,19.8,0.25,1.05,D01
BC,30B,24.1775,19.8,24.1775,19.8,0.25,1.05,D01
BC,31B,23.9275,19.8,23.9275,19.8,0.25,1.05,D01
BC,32B,23.6775,19.8,23.6775,19.8,0.25,1.05,D01
BC,33B,23.4275,19.8,23.4275,19.8,0.25,1.05,D01
BC,34B,23.1775,19.8,23.1775,19.8,0.25,1.05,D01
BC,35B,22.9275,19.8,22.9275,19.8,0.25,1.05,D01
BC,36B,22.6775,19.8,22.6775,19.8,0.25,1.05,D01
BC,37B,22.4275,19.8,22.4275,19.8,0.25,1.05,D01
BC,38B,22.1775,19.8,22.1775,19.8,0.25,1.05,D01
BC,39B,21.9275,19.8,21.9275,19.8,0.25,1.05,D01
BC,40B,21.6775,19.8,21.6775,19.8,0.25,1.05,D01
BC,41B,21.4275,19.8,21.4275,19.8,0.25,1.05,D01
BC,42B,21.1775,19.8,21.1775,19.8,0.25,1.05,D01
CC,04B,20.1775,19.8,20.1775,19.8,0.25,1.05,D01
CC,05B,19.9275,19.8,19.9275,19.8,0.25,1.05,D01
CC,06B,19.6775,19.8,19.6775,19.8,0.25,1.05,D01
CC,07B,19.4275,19.8,19.4275,19.8,0.25,1.05,D01
CC,08B,19.1775,19.8,19.1775,19.8,0.25,1.05,D01
CC,09B,18.9275,19.8,18.9275,19.8,0.25,1.05,D01
CC,10B,18.6775,19.8,18.6775,19.8,0.25,1.05,D01
CC,11B,18.4275,19.8,18.4275,19.8,0.25,1.05,D01
CC,12B,18.1775,19.8,18.1775,19.8,0.25,1.05,D01
CC,13B,17.9275,19.8,17.9275,19.8,0.25,1.05,D01
CC,14B,17.6775,19.8,17.6775,19.8,0.25,1.05,D01
CC,15B,17.4275,19.8,17.4275,19.8,0.25,1.05,D01
CC,16B,17.1775,19.8,17.1775,19.8,0.25,1.05,D01
CC,17B,16.9275,19.8,16.9275,19.8,0.25,1.05,D01
CC,18B,16.6775,19.8,16.6775,19.8,0.25,1.05,D01
CC,19B,16.4275,19.8,16.4275,19.8,0.25,1.05,D01
CC,20B,16.1775,19.8,16.1775,19.8,0.25,1.05,D01
CC,21B,15.9275,19.8,15.9275,19.8,0.25,1.05,D01
CC,22B,15.6775,19.8,15.6775,19.8,0.25,1.05,D01
CC,23B,15.4275,19.8,15.4275,19.8,0.25,1.05,D01
